"Details","Name","Stage","Country (ISO)","Contract Signed","Original currency (ISO)","Total finance (original currency)","USD Estimate","Investment Details - Internal Rate of Return - Latest - (Value)","Purpose and classifications - Social challenge - (Value)","Intervention model","Policy sector","Purpose and classifications - Primary SDG goal - (Value)","Purpose and classifications - Secondary SDG goals - (Value)","Purpose and classifications - Primary SDG target - (Value)","Purpose and classifications - Secondary SDG targets - (Value)","Purpose and classifications - (Source ID's)","Purpose and classifications - (Notes)","Beneficiaries - target population","Beneficiaries type","Service and beneficiaries - Unit type of targeted service users or beneficiaries - (Value)","Service and beneficiaries - Unit description of targeted service user or beneficiaries - (Value)","Service and beneficiaries - Actual number of unique service users or beneficiaries engaged (total) - (Value)","Service and beneficiaries - Unit type of actual service users or beneficiaries engaged - (Value)","Service and beneficiaries - Unit description of actual service user or beneficiaries engaged - (Value)","Service and beneficiaries - (Source ID's)","Service and beneficiaries - (Notes)"
"View","End of Life Care Integrator - Sutton","Complete","GB","2018-02","","","","","","Single point of access delivered through alliance model, harnessing voluntary sector to support patients who prefer to be treated at home. This integrates continuing healthcare fast track process into a new End of Life Care Coordination and Assessment Service with palliative care experts. Plus, assessments are undertook for ratification in CCG as well as providing care packages for individuals nearing the end of their life.","Health","","","","","source1","","End of life patients.","","","","","","","source1",""
"View","End of Life Care Integrator- Bradford","Implementation","GB","2022-05","GBP","846,667","","","","This service offers a specialist palliative care presence in Bradford Hospital Trust’s accident and emergency (A&E) department to help identify end of life patients and influence how their care is managed, avoiding hospital stays where possible. Plus, Telemedicine Service and clinical assessments of those residents in homes.","Health","3","","","","source1, source2","","End of life Care patients (people in their expected last twelve months of life)","3,220","Individual","","","","","source1","5220 across all project 3220 in CBO funded period"
"View","Energise","Complete","GB","","GBP","900,000","1421695.413","","","The IF pilot projects aim to prevent young people from becoming NEET, or support those already NEET to re-engage with education, training and employment. Interventions display a wide diversity in terms of participant age range, in and out of school provision and the balance between one to one and group work. Some programmes are built around participation on a structured programme or course. Despite these differences, there are also commonalities between projects including: time spent on initial marketing, recruitment and engagement; an intense initial process of working with each participant to achieve a positive shift in ‘mind-set’; a more extended period of personal and skills development and the encouragement of mental resilience in dealing with challenges and difficulties faced; and an ongoing process of goal setting and progression facilitation. Adviza assesses the needs of all participants and identifies an individual action plan. Teenagers are offered ongoing support, work experience and mentoring opportunities, with activities including residential teambuilding weekends, group sessions, and individual tailored support. One-to-one mentoring combined with variable lengths of time (as appropriate) at motivational residentials","Employment and training","","","","","source7,source2","","14 to 16 year olds identified as having poor behaviour, underperforming at school, or having other complex issues, and at risk of becoming NEET. Young people with one or more ‘vulnerable’ flags on CCIS database","","","","1,778","","","source8",""
"View","Enhanced Dementia Care Service","Implementation","GB","2019-09","GBP","345,000","440299.48450941","","Care services for the elderly, dementia, hospital admissions.","That individual patients will experience coordinated, seamless and integrated services using evidence-based care pathways, case management and personalised care planning. Effective care planning and preventative care will anticipate and avoid deterioration of conditions and support reduction in hospital admissions.","Health","","","","","source1","","People affected by dementia who happen to have a history of disproportionate number of admissions. Two or more unwarranted admissions in the preceding 12 months. The majority of the cohort are presently engaged with support services.","300","Individual","","","","","source1",""
"View","Entrenched Homelessness Social Impact Bond- ACTion Glos (Gloucestershire)","Implementation","GB","2017-11","","","","","","The intervention aims at supporting individuals with complex needs (e.g. mental health, substance misuse etc.) through a  Housing First approach. Housing First (Assertive Community Treatment model) is an approach to quickly and successfully connect individuals experiencing homelessness to settled accommodation without preconditions and barriers to entry such as sobriety, treatment or service participation requirements. Specialist link workers will support clients flexibly to meet all of their needs, in any setting and by linking in with existing services. Support will focus on finding and sustaining accommodation, wellbeing (including addressing addiction and mental ill health), and employment, training, and volunteering.","Homelessness","","","","","source10,source2","","Individuals who are verified as sleeping rough 6+ times in last 2 years OR have had repeat interaction with homelessness services in last 3 years, have at least 2 complex needs (e.g. mental health, addiction etc.), are aged over 18, and are not effectively supported through existing services.","126","","","","","","source11",""
"View","Entrenched Homelessness Social Impact Bond- ACTion Lincs (Lincolnshire)","Implementation","GB","","","","","","","The intervention aims to tackle the long-term causes of homelessness, and provide life-changing support to some of the most vulnerable people in Lincolnshire through a Housing First (Assertive Community Treatment model) approach. The service offers lasting, integrated support to people by helping them to access and sustain accomodation, mental health and drug/alcohol support, as well as education, training and employment opportunities. Support will be provided in any setting; whether that be the street, hospital, prison or in someone's house.","Homelessness","","","","","source4,source1","","People who have extremely complex needs, having slept outside for long periods of time, or experienced multiple episodes of homelessness.","120","Individual","","","","","source1",""
"View","Entrenched Rough Sleepers Social Impact Bond- Pan-London","Implementation","GB","2017-10","GBP","250,000","321759.9777","","","The scheme will work on the established ‘payments by results’ model, helping long-term rough sleepers move off the streets and into stable accommodation. Payment will be made to service providers with the skills and experience to effectively help long-term rough sleepers. The Social Impact Bond builds on previous homelessness SIBs contracted with St Mungo's and Thames Reach in London.","Homelessness","","","","","source1","","320 of the most entrenched rough sleepers – which includes those with mental health issues, as well as drug and alcohol problems – across all 33 London local authorities","320","Individual","","","","","source1",""
"View","Entrenched Rough Sleepers Social Impact Bond- Street Impact Brighton","Implementation","GB","","GBP","160,000","213466.6674","","","Wrap around support offering a Housing First style fidelity model will aim to reduce rough sleeping activity and ensuring access to local services – health (street triage), mental health (street based assessments). Collaboration will include increased flexibility around emergency or temporary accommodation through Housing Options plus access to hostel beds, and will align with the current commissioning of assessment centres and ‘safe places’ short term emergency beds. The ethos of the service delivery will be based on PIE (led by Brighton and Hove) and MEAM (Adur and Worthing) delivering innovation in strengths based work.","Homelessness","","","","","source5,source1","","A history of rough sleeping (seen rough sleeping at least 6 times over the last 2 years) or have spent at least 3 years interacting with homelessness services (including hostels) and have at least two other complex needs (including, but not necessarily limited to Substance misuse or addiction problems (including New Psychoactive Substances), a history of offending (5+ offences in the last five years or 1 offence in the last year) or street based anti-social behaviour, mental health problems (including self-reported), long-term health conditions) and are currently not being adequately or effectively supported through existing services.","100","","","","","","source6",""
"View","Entrenched Rough Sleeping Social Impact Bond- Greater Manchester","Complete","GB","","GBP","1,800,000","2316671.84","","","A programme to assist the most entrenched rough sleepers with secure accommodation and ongoing targeted support, using a housing first approach. It aims to provide the wrap-around support needed to enable individuals to sustain a tenancy in one of 270 homes to be made available by 15 Greater Manchester housing providers and two private rented sector partners – with charities Shelter, Great Places and The Brick ensuring individuals receive the intensive emotional and practical support they need to access appropriate health, training and employment services. The focus is on an individual’s assets and strengths, using a personalised fund to realise their individual ambitions and aspirations. The partnership invests in a second, third, fourth chance ethos, so it doesn’t matter how many times it takes for a participant to stabilise and move forward.","Homelessness","","","","","source8,source3","","‘Entrenched rough sleepers’ – people who have regularly slept rough over the past two years and/or are well known to homelessness services","300","Individual","","406","Individual","","source2, source15",""
"View","Entrenched Rough Sleeping Social Impact Bond- Newcastle and Gateshead","Implementation","GB","","GBP","400,000","514815.9644","","","The initiative will help get people off the streets and into stable, long-term accommodation as part of the Department for Communities and Local Government’s Homelessness Prevention Programme. Working alongside other support services in the area, Changing Lives uses an asset-based approach that will bring the separate organisations together to the maximum benefit of the individual. There are 5 proposed service elements include: 1) Multi-disciplinary team –therapeutic skills 2) Housing First 3) Access to dedicated supported accommodation 4) Learning framework – reflective practice to collectively respond to obstacles to inclusion 5) Values – elastic tolerance & unconditional positive regard","Homelessness","","","","","source10,source3","","Cohort of single adults who are homeless and who have a history of rough sleeping or have been interacting with hostel services over the last 3 years or more.","185","Individual","","","","","source11",""
"View","Entrenched Rough Sleeping Social Impact Bond- Street Impact Bristol","Implementation","GB","2017-10","GBP","270,000","347500.7759","","","Street Impact Bristol are supporting 125 specific people rough sleeping in Bristol, aiming to support them off the streets, through providing accommodation and vital support services tailored to each individual’s needs. This is targeted to individuals who are selected by Bristol City Council and are, by definition, diffcult to help with complex needs. The work also involves getting to know clients and creating individual “theories for change” based on the targets they discuss with clients. The Street Impact Bristol team is able to spend as much time as is needed with individuals, because the contract pays based on outcomes. This means they can link up services in a way that all too often, doesn’t happen.","Homelessness","","","","","source7,source2","","Individuals selected by Bristol City Council who are over 21 years old, with a history of rough sleeping or long term engagement with homelessness services and are, by definition, difficult to help with complex needs (including substance misuse, a history of offending or street-based anti-social behaviour, mental health problems or long- term physical health conditions.) They have 'recourse to public funds' and are not currently being adequately or effectively supported through existing services.","125","","","","","","source8",""
"View","Epiqus Työhyvinvointi I (""Tyhy-SIB"") (Epiqus Occupational Wellbeing)","Complete","FI","2015-11","EUR","1,500,000","1663600.168","","","The service providers offer a range of occupational wellbeing and preventative healthcare programmes to public sector employers. The intervention starts with a comprehensive survey of the workforce to assess needs and services, and a contact centre is then installed as an interface to the public healthcare system and point of contact for employees in relation to occupational healthcare needs. Some of the Occupational well-being SIB services are fixed, meaning that they run for the duration of the agreement. Additional tailored services are planned once a month at joint meetings involving the service providers, customers and Epiqus Oy, which manages the SIB project.","Health","","","","","source13,source4","","Public sector employees in Finland.","1,300","Individual","","1,300","Individual","","source4",""
"View","Escola Digital MUDA -  EUSOUDIGITAL ALGARVE","Implementation","PT","2021-07","EUR","362,411","426366.30588235","","Digital Inclusion/ Adults digital exclusion","Digital inclusion capacity building programme for adults that never used internet, mainly those between 45 and 64 years old, with learning by doing individual & onsite sessions of 2 hours delivered by volunteers to improve digital competences up to ""beginners level"" of the QDRCD (Quadro Dinâmico de Referência de Competência Digital). The training can be done within families or the community building on partnerships with municipalities, libraries, schools, universities, companies and others.","Education","","","","","source1","","Digitally excluded adults","50,000","Individual","","","","","",""
"View","Escola Digital MUDA -  EUSOUDIGITAL LISBOA","Implementation","PT","2021-10","EUR","1,750,000","2058823.5294118","","Adult digital exclusion","Digital inclusion capacity building programme for adults that never used internet, mainly those between 45 and 64 years old, with learning by doing individual & onsite sessions of 2 hours delivered by volunteers to improve digital competences up to ""beginners level"""" of the QDRCD (Quadro Dinâmico de Referência de Competência Digital). The training can be done within families or the community building on partnerships with municipalities, libraries, schools, universities, companies and others. ""","Education","","","","","","","Adults","250,000","Individual","","","","","",""
"View","Essential Skills Social Finance (ESSF) Pilot Project","Implementation","CA","","CAD","250,000","188591.687","","","The intervention seeks to recruit low-skilled, unemployed adult Canadians to raise their essential skill levels through the delivery of a training initiative based on Douglas College's proven Foundations Workplace Essential Skills Program. ESSF offers a blended-learning model comprised of group and individualized instruction designed to increase essential skills and engage participants. It is comprised of 144 instructional hours, typically delivered 6 hours per day, 4 days per week, for 6 weeks. Curriculum content supports learning in five main categories: document use, writing, digital technology, reading and numeracy. Each has a set of group activities, plus guidelines and resources for individual practice, at lower and higher levels of skill. As part of the curriculum, learners develop and produce their own portfolio of documents and resources to support them in their trajectory towards stable and satisfactory employment. The portfolio is more than a CV, containing materials for individual career exploration and job search, as well.","Employment and training","","","","","source8,source2","","Unemployed or underemployed adult Canadians with lower literacy skills, defined as below Level 3 on the IALS scale.","91","","","","","","source9",""
"View","Essex County Council Multi-Systemic Therapy (MST)","Complete","GB","","GBP","3,130,000","4893220.107","","","The intervention used Multi-Systemic Therapy (MST) which involves an intensive evidence-based therapeutic treatment model that aims to promote positive social behaviours by breaking negative cycles and removing specific problems in the young person’s life. Young people in Essex demonstrating anti-social or offending behaviours were assigned a therapist who worked with them in their home, school, and community, and with family and peers. This therapist was available 24/7 and worked with the young person for an average of 4-5 months to change their social behaviours.","Child and family welfare","","","","","source19,source4","Referral Route: Referrals to the Essex SIB can come either directly from Social Workers, Youth Offending Services (YOS), D-BIT or other services. Referrals are reviewed by Essex Children's Social are Quadrant Panels, which have responsibility for allocating resources to meet the needs of the young people referred. As the gatekeepers to the service, the Quadrant Panels provide an independent assessment of which cases are suitable for MST. The MST supervisors have final responsibility for discussing and accepting referrals endorsed by the Quadrant Panels.","Adolescents aged 11–17 who display anti-social or offending behaviour or other conduct disorders that put them at risk of an out-of-home placement. Individuals referred to the MST service in Essex typically exhibit multiple high risk characteristics such as aggression, criminal behaviour, violence, and imminent risk of care entry.","","","","335","Individual","","source19",""
"View","Family counselling for Vulnerable Families with a Non-Danish Ethnic Background","Implementation","DK","2021-11","DKK","4,800,000","763116.0572","","","Family counselling based on the families’ needs. The intervention consists of two types of treatment depending on the family's challenges and needs: 1. Ordinary family therapy is given to families where the parents need light or moderate help to navigate everyday life and strengthen their relationship with the child or young person. The treatment consists of help for the family approx. 2-4 hours per week. 2. Intensive family treatment is given to families where the children show serious signs of unwellness, where one or more children are at risk of being placed in care and the level of concern is high. The treatment consists of help for the family for approx. 15-20 hours per week.","Child and family welfare","","4","","","source1,source2","","Families with a non-Danish ethnic background","25","Other","Families","","","","source1",""
"View","Faz-te Forward (Bring Yourself Forward)","Complete","PT","2017-06","EUR","387,848","437062.3475","","Youth unemployment","The project aimed at increasing the employability and socio-occupational inclusion of young people. This is a 10-month mentoring, coaching and employability skills development programme.","Employment and training","","","","","source9,source4","Policy (Social inclusion- employment/training)","Young people not in employment, education or training (NEET) and finalist students seeking their first job, particularly in a more vulnerable situation, living in the Porto Metropolitan Area.","150","Individual","","150","Individual","","",""
"View","Finance for Jobs (F4J)","Implementation","PS","2019-10","USD","1,800,000","1800000","","Youth unemployment in Palestine","The main purpose of the First Palestinian Employment DIB is to match employment opportunities with suitable employees by purposefully training job seekers in employer-demanded skills. The DIB will target an estimated cohort of 1,500 Palestinian job seekers aged 18–29 years (of which at least 30 percent will be women). The DIB will match skills to specific jobs, and create meaningful partnerships with the private sector to ensure sustainability. Private sector organisations will provide training, starting in 2020. They will focus initially on employment opportunities in the healthcare sector, as well as in the industrial and construction sector. Additional training will be rolled out according to market needs, with the goal of delivering sustainable employment outcomes by late 2021. It hopes to bridge the gap between academic outputs and the job-specific skills required in the Palestinian labour market, and to create new jobs for Palestinian youth by mobilising investments that deliver economic and social returns.","Employment and training","","","","","source6,source1","","1,500 Palestinian job seekers aged 18–29 years (of which at least 30 percent will be women).","1,500","Individual","","","","","source1",""
"View","Finland Children's Welfare SIB II","Implementation","FI","2020-12","EUR","5,100,000","","","Youth exclusion and problems in families with small children. The aim is to boost wellbeing and to reduce the costs of corrective services and the need for unemployment benefits. Municipalities need new financing and operating approaches helping them to tackle problems and the purpose of the Lapset SIB II project is to address problems in a proactive manner and at the right time. Successful completion of upper secondary education and finding employment are key to social integration. However, about 15% of all young people finish school without a post-basic education qualification. For young people in substitute care, the figure is as much as 50%. A young person outside education and working life costs society about EUR 18,000/year.","Early stage support for families with children who are in danger of youth exclusion. Main intervention providers include SOS Children's Villages, Helsinki Deaconess Foundation and Nuorten Ystävät.","Child and family welfare","","","","","source1","","","","","","","","","source1","Target cohorts vary by Municipality."
"View","Finland Children’s Welfare SIB","Implementation","FI","2018-10","EUR","5,000,000","5731000","","","","Child and family welfare","","","","","source1, source9","","Children (the youth) and their families in need of welfare support.","400","Individual","","","","","source1, source9","Specific target group varies by municipality. Also target number of engaged service users varies by municipality between 50 and 200 people. The Municipality of Helsinki has at least 200 service users."
"View","Fonciere Chenelet SIB","Implementation","FR","2019-05","EUR","3,500,000","3921050","","","The intervention aims to rehabilitate buildings and to turn them into accommodations adapted to persons with reduced mobility and with great energy efficiency, consequently generating low energy expenses for the tenants. The social provider aims to address the housing needs of very-low-income households by creating a low-rent, energy-efficient housing stock in suburban areas, especially targeting older people wanting to stay in their hometown. Through the SIB partnership, the provider strengthens its relationship with the public agency ANAH, which mission is to improve the private housing stock, by experimenting what could become a lasting public policy.","Homelessness","","","","","source1","","People living in very precarious conditions, in particular very-low-income seniors.","60","Individual","","","","","source1",""
"View","Forward Outcomes Partnerships","Implementation","GB","","GBP","","","","Children at risk of going in to care","Support women that have had, or are at risk of having, multiple children removed from their care","Child and family welfare","","","","","source1","","Women who have experienced, or are at risk of experiencing, at least two episodes of care proceedings leading to the removal of one or more of their children into care","200","Individual","","","","","source1",""
"View","Fostering Better Outcomes","Implementation","GB","2019-08","","","","","Children on the edge of care or in care","The Council will use a black box commissioning approach, and will provide an indicative example of the long-term intervention it intends to commission.","Child and family welfare","","","","","source1","","The project will work with children aged from 7-17 within the Local Authority either in or on the edge of care.","12","Individual","","","","","source1",""
"View","Foyer Central SIB","Implementation","AU","2020-12","USD","7,000,000","7000000","","Supporting young people who are at risk of or experiencing homelessness to lead fulfilling lives and transition to independence","Foyer Central is an integrated learning and accommodation centre that will support young people who have been in of out-of-home care on the path to independence. The Program will build their capacity to access resources and opportunities, connect with education, training and employment, and make positive decisions.","Homelessness","","","","","source1,source2, source3","It supports the NSW Homelessness Strategy — to provide targeted housing options to prevent homelessness or chronic homelessness for high-risk groups.","Young people who have left out-of-home care and are at risk of or experiencing homelessness","272","Individual","","","","","source1,source2",""
"View","Fusion","Complete","GB","2015-01","GBP","840,000","1283333.286","","Homelessness","The Fusion delivery model is based on a team approach with staff members specialising in different aspects of the support package offered to young people. Following referral Intervention Workers provide holistic and informal support to individuals throughout the programme supported by the wider team.","Homelessness","","","","","source10,source2","","Young people aged 18-24 not in employment, education, or training (NEET); homeless as defined in the homelessness legislation but not in priority need under that legislation and deemed a priority for local authority support but unable to be accommodated in a supported housing scheme.","","","","353","Individual","","source2",""
"View","FutureImpact","Complete","GB","2018-09","GBP","498,000","635562.73422","","Youth disengagement, youth unemployment, youth not in education, employment or training.","FutureImpact Coaches will work with young people with SEND and facing multiple barriers to: • Complete an assessment and develop a Personal Action Plan, then review progress every 8-12 weeks • To overcome problem behaviours • Address barriers (including mental health, substance misuse, family, environmental, cultural, economic issues) • Build capacity, resilience and confidence • Identify ambitions/options for progress • Achieve a range of EET (Education, Employment and Training) goals • Sustain progression.","Employment and training","","","","","source1","","The goal for FutureImpact is to provide person-centred support to 16 – 24 year olds who have special educational needs and disability (SEND)/demonstrate complex needs, and young people (YP) aged 15 at high risk of becoming not in education, employment or training (NEET). All young people will have at least 2 Risk of NEET Indicators and will have additional risk factors and needs including exclusion, learning difficulties, mental health problems, substance misuse issues, homelessness and others.","1,000","Individual","","","","","source1",""
"View","Futureshapers Sheffield","Complete","GB","","GBP","1,125,000","1718749.936","","","As part of the Youth Engagement Fund, the SIB aims to help disadvantaged young people aged 14 to 17 to participate and succeed in education or training. This aimed to improve their employability, reduce their long term dependency on benefits, and reduce their likelihood of offending. The programme aimed to provide wrap-around support to young people through a personal mentor over an extended time-period, as well as group work, skills development, enrichment activities, work experience opportunities and spot purchasing of specialist support.","Employment and training","","","","","source10,source1","","Young people aged 14 to 17 in Sheffield who have poor attendance at or have been excluded from school, who have experience in the youth justice system, are ‘looked after’, have special educational needs or disability, or are teen parents","","","","","","","source1",""
"View","Gamezone Lisboa","Implementation","PT","2020-03","EUR","246,612","280240.90909091","","School failure. Deficit in Portuguese and Mathematics skills","The Gamezone Lisboa project has as its main objective the mitigation of the deficit in Portuguese and mathematics skills of students with low socioeconomic status. To this end, this project contemplates the development of SPOT Literacy in the Public Space - a pedagogical tool for teachers, materialized in a multimedia game that launches challenges of literacy and numeracy around the cultural heritage of the Municipality.","Education","4","","","","source1","","Students with low socioeconomic status","32","Individual","","","","","source2",""
"View","Gloucestershire Positive Behaviour Support","Implementation","GB","2020-06","GBP","150,000","186105.375","","","The interventions identify the function of the challenging behaviour and deliver practical solutions to improve the individual's quality of life, reducing the need for residential placements, with a focus on them remaining at home or other supported homes","Child and family welfare","","","","","","","The cohort is young people with a learning disability and/or autism and displaying challenging behaviour, who professionals feel is at risk of going into residential care.","10","Individual","","","","","source1",""
"View","Greater Manchester Refugee Integration Partnership","Implementation","GB","2022-01","GBP","","","","Refugee Integration in the UK","This initiative aims to increase the self-sufficiency and integration of newly granted refugees, helping them to move into work, learn English, access housing and build links in their local communities. It will encourage new partnerships and evaluate activities to better understand what works for refugees.","Employment and training","","","","","source1","","The project is working with those who have been granted refugee status or humanitarian protection since 24 February 2020 and are economically active (actively seeking work or ready to take active steps towards securing work).","","Individual","","","","","source1",""
"View","Hachioji City SIB on Increasing the Rate of Residents Receiving Bowel Cancer Screenings","Implementation","JP","2017-03","Japanese Yen","8,874,000","79114.78379","","","A project to increase the rate of residents receiving bowel cancer screening. This project recommends relevant Ha-chioji City residents to take bowel cancer screening. AI is used to analyse the medical information of the target group, and postcards carrying customized messages according to the resident’s risk factors are sent.","Health","","","","","source1","","Residents who have not been screened for bowel cancer in the previous fiscal year, a group for whom the rate of bowl cancer examinations is particularly low.","12,000","","","","","","source1",""
"View","Haebom Project - Gyeonggi Province SIB","Complete","KR","2017-03","South Korean Won","1,550,000,000","1359112.630979","","","To support people to find and sustain jobs than can improve their income level and quality of life, and reduce social welfare dependency.","Employment and training","","","","","source1","","Low-income people who receive national basic livelihood pay, mainly because they find it difficult to work due to their home environment, illness, disability and/or old age. The 800 Aid Recipients living in Gyeonggi-do, classified as Public Aid Recipients, are those who are willing to stand on their own feet but are not supported by the service.","","","","800","","","source3",""
"View","HCT Independent Travel Training SIB (Norfolk)","Complete","GB","2017-10","GBP","1,000,000","1350193.718","","","","Education","","","","","source8,source2","","Young people who are in school years 7 - 13, live in the county of Norfolk, are eligible for Special Educational Needs transport, have a statement of Special Educational Needs or an Education, Health, and Care Plan.","404","Individual","","","","","source9",""
"View","HCT Independent Travel Training SIB (Surrey)","Complete","GB","2017-10","GBP","615,000","791529.5452","","","This funding will support the delivery of a six year Travel Training project. Up to 250 young people with special educational needs and disabilities will be supported to travel independently between their home and place of learning.","Education","","","","","source8,source2,source12","","Young people who are aged 11 - 24, live in the county of Surrey, are currently using Surrey SEND transport, are eligible for Special Educational Needs transport, and have a statement of Special Educational Needs or an Education, Health and Care Plan.","400","Individual","","","","","source9",""
"View","HCT Travel Training (Lambeth)","Complete","GB","2016-02","GBP","420,000","567081.3614","","This five year social investment bond (SIB) will deliver travel training for up to 80 young people with a statement of special educational needs or an educational health care plan.","The intervention aims to deliver travel training for up to 200 young people with a statement of special educational needs or an educational health care plan. The service aims of help young people in Lambeth become more independent by acquiring life skills and confidence. The programme takes approximately 8 weeks. Each young person has a Travel Trainer, who completes four modules of training with them: learning the journey and foundation travel skills, personal safety and problem solving, journey practice and learning alternative routes, and building confidence and becoming independent. Over time and when they are ready, the young person will complete more of the journey on their own until they are travelling independently for the whole journey.","Education","","","","","source7,source2","","Young people who are aged 10-19 years old, live in the London Borough of Lambeth, are eligible for Special Education Needs transport, and have a statement of Special Educational Needs or an Education, Health and Care Plan.","200","Individual","","","","","source8",""
"View","Health Point Project Utilizing SIB","Implementation","JP","","JPY","26,000,000","238510.2","","","The PS-Setouchi invites citizens aged 35 or older and those who work in Okayama to participate in the Health Point Program. PS-Setouchi issues point cards with QR codes to registered participants. The participants gain Health Point when they consume and purchase health-related services (fitness, healthy diet, culture programs, events, etc.) at local shops and restaurants.","Health","","","","","","","","15,000","Individual","","","","","source1",""
"View","Healthier Devon","Implementation","GB","2017-10","GBP","1,050,000","1400875.005","","This social impact bond (SIB) aims to prevent or manage type 2 diabetes for up to 6,500 people in Devon.","The intervention aims at providing sustained help to patients over a two-year period to make positive changes to their lifestyle - to include nutrition, physical exercise and mental wellbeing - via a combination of one-to-one and group sessions.","Health","","","","","source3","","Adults at risk of developing Type 2 diabetes, with a focus on 40% most deprived population.","3,500","Individual","","","","","source5",""
"View","Her Heart Her Way","Implementation","CA","","CAD","600,000","444000","","Women tend to have specific and unique heart health needs and experience heart health differently than men, especially considering the signs of heart disease in women are more likely to go unrecognized.","This social impact bond is designed to reduce the risk of heart disease in women, as measured by improved systolic blood pressure and increased physical activity.","Health","3","","","","source1","","Winnipeg women with increased risk of cardiovascular disease, including high cholesterol and high blood pressure, who want support to change lifestyle risk factors related to diet, weight, physical activity, stress, alcohol or commercial tobacco use.","","Individual","","","","","source1",""
"View","Higashiomi City SIB Project","Complete","JP","2016-05","","","","","","Higashiomi Sanpoyoshi Kikin receives applications for various subsidy schemes from companies and organisations in the city. Those companies and organisations that apply are selected by a committee set up by the Higashiomi Sanpoyoshi Kikin. Once applicants are selected, they begin their projects. After the completion of the selected project, the selected companies need to submit a performance report to the Higashiomi Sanpoyoshi Kikin and report on the achievement of the performance target. Based on this report, the Board examines the degree of achievement of the results of each adopted project.","Employment and training","","","","","","","Companies and other organisations","19","Other","Companies and other organisations","","","","",""
"View","HMP Peterborough (The One Service)","Complete","GB","2010-03","GBP","5,000,000","7725833.703","","","The Peterborough SIB is intended to reduce the reconviction rates of short-sentence male prisoners leaving HMP Peterborough. The One Service contracted four organisations, St. Giles Trust, Ormiston Children and Families Trust, YMCA and SOVA, to deliver its core activities. St. Giles Trust and Ormiston Children and Families Trust focus on the immediate needs of an o ender and his family before and after he is released from prison. These needs include accommodation, medical services, family support, employment and training, bene ts and  nancial advice.Participants voluntarily refer themselves into 'The One Service'. St Giles Trust workers interviewed offenders to assess their needs. supported offenders before release, at the point of release, and into the community. The Ormiston Children and Families Trust supported offender's children and families in that time. SOVA and YMCA provided longer-term, lower-intensity support.","Criminal justice","","","","","source1","","Adult males (aged 18 or over) who received custodial sentences of less than 12 months and who had been discharged from HMP Peterborough","","","","1,802","","","source11",""
"View","Home Group","Complete","GB","2015-01","GBP","490,000","748611.0832","","Homelessness","The overall approach builds upon the organisation's Jumpstart model (developed in Bradford), and begins with addressing issues of previous arrears/debts and behaviour issues, and securing suitable accommodation through existing links with a range of housing providers. Access to supported accommodation is also facilitated, and deposits and bond guarantees provided as appropriate.","Homelessness","","","","","source11,source2","","Young people aged 18-24 not in employment, education, or training (NEET); homeless as defined in the homelessness legislation but not in priority need under that legislation and deemed a priority for local authority support but unable to be accommodated in a supported housing scheme.","","","","270","","","source2",""
"View","I-Aspire (Lewisham)","Complete","GB","","","","","","","I-Aspire is a service being delivered by Depaul UK to support care leavers in Lewisham, Greenwich and Bromley achieve better education, training and employment (ETE) outcomes. Care leavers lack the support networks many young people have had from an early age. To address this disparity, the service is designed to be holistic, flexible, and dynamic in supporting young care leavers to achieve their potential in ETE. This is an opportunity to provide consistent support and an unlimited number of interventions over a period of four years, helping young care leavers to develop the independence and confidence needed to thrive in the current labour market.","Child and family welfare","","","","","source3,source4","","250 looked after children and care leavers in the boroughs of Lewisham, Greenwich & Bromley.","250","","","264","Individual","","source2, source8",""
"View","ICRC Programme for Humanitarian Impact Investment (PHII)","Implementation","ML, NG, CD","2017-07","USD","19,700,000","19700000","","","The intervention seeks to expand and improve efficiency of physical rehabilitation services, ensuring high quality and well-targeted services are provided. It does this through implementing the Physical Rehabilitation Program (PRP). The intervention includes: three new Physical Rehabilitation Program centres in Mali (Mopti), Nigeria (Maiduguri) and the Democratic Republic of Congo (Kinshasa), as well as provision of training for local staff to deliver high quality physical rehabilitation services in these centers. The intervention also seeks to pilot and rigorously assess pilot efficiency improvement measures across eight existing ICRC physical rehabilitation centers with the aim of improving efficiency and maintaining patient outcomes, while also operationalising the three new centers using improved operational protocols that are based on effective efficiency measures.","Health","","","","","source2","","Individuals with physical disabilities in living in Mali, Nigeria, and the Democratic Republic of Congo, who are victims of war, natural disasters, congenital impairments or disabling diseases such as polio.","3,600","Individual","","","","","source1",""
"View","Illinois Dually-Involved Youth Pay for Success Initiative","Implementation","US","","USD","16,400,000","16400000","","","Since dually-involved youth interact with multiple government systems and have unique personal challenges, this initiative aims to improve outcomes by changing both systems behavior and child and family behavior. Services providers and commissioner will collaborate with juvenile courts/probation to develop a system of care that provides rapid identification, comprehensive and collaborative case coordination, and increased access to proven clinical programs for dually-involved youth. The service provider will implement the Crossover Youth Practice Model (CYPM), a set of proven practices developed by the CJJR at Georgetown University's McCourt School of Public Policy. Through this model, the service provider will offer an array of therapeutic interventions including high-fidelity wraparound services, TFCO, BSFT, ARC, SPARCS, and a variety of non-traditional therapies to help youth transition to adulthood, develop a positive support team for the youth, and thus prevent future criminal behavior.","Criminal justice","","","","","source7,source1","","Youth aged 11 - 17 in guardianship/custody of DCFS, involved in the juvenile justice system, from and living in Cook or Lake counties.","800","","","","","","source9",""
